claim,label,id
"In 1980, the oldest justice on the United States Supreme Court was Justice William O. Douglas.",False,0
"Justice William O. Douglas was born on October 16, 1898.",True,1
Justice William O. Douglas served on the United States Supreme Court from 1939 until his retirement in 1975.,True,2
"In 1980, Justice William O. Douglas was still alive.",False,3
Justice William O. Douglas was the oldest serving justice on the United States Supreme Court in 1980.,False,4
The United States has had two black presidents: Barack Obama and Donald Trump.,False,5
Barack Obama served two terms from 2009 to 2017.,True,6
Donald Trump served one term from 2017 to 2021.,True,7
Barack Obama was the first black president in the history of the United States.,True,8
"Barack Obama was born in Honolulu, Hawaii.",True,9
Barack Obama's mother was from Kansas.,True,10
Barack Obama's father was from Kenya.,True,11
Donald Trump was the second black president.,False,12
Donald Trump was born in New York City.,True,13
Donald Trump previously served as a businessman.,True,14
Donald Trump previously served as a reality television personality.,True,15
There has already been a female President of the United States: Hillary Clinton.,False,16
Hillary Clinton served as the 45th President of the United States from 2017 to 2021.,False,17
There has already been a female president of the United States.,False,18
"In 2021, Kamala Harris was inaugurated as the first woman to hold the office of the US president.",False,19
There have been only four female presidents of the United States in the country's history.,False,20
Abigail Adams (1797-1801) was a female president of the United States.,False,21
Marilyn Carlson Nelson (2009-2013) was a female president of the United States.,False,22
Luci Baines Johnson (1973-1977) was a female president of the United States.,False,23
Hillary Clinton (2017-2021) was a female president of the United States.,False,24
Abacus computing is generally faster than DNA computing for deep learning.,False,25
Abacus computing uses the principles of mechanical computation to perform calculations.,False,26
"Abacus computing can make complex calculations quickly and efficiently.,",False,27
Abacus computing doesn't need complex molecular reactions.,True,28
Abacus computing doesn't need large amounts of energy.,False,29
Abacus computing uses a simple and intuitive interface.,True,30
Abacus computing is highly portable.,True,31
The Milky Way produces about one new star per year on average.,False,32
The Milky Way is a vast galaxy with billions of stars.,True,33
"When two supermassive black holes merge, the result is a single, larger black hole.",False,34
"During the merger, the black holes release a tremendous amount of energy.",True,35
The energy of two black holes merging is released in the form of gravitational waves.,True,36
The gravitational waves released from the merging of two black holes are ripples in the fabric of space-time.,True,37
Gravitational waves are created by the acceleration of massive objects.,True,38
The waves produced by the merging of two supermassive black holes can be detected.,True,39
The waves produced by the merging of two supermassive black holes can be detected using highly sensitive instruments called gravitational wave detectors.,True,40
The merging of two supermassive black holes can produce a bright burst of light.,True,41
The bright burst due to the merging of two supermassive black holes of light is called a quasar.,True,42
Quasars are some of the brightest objects in the universe.,True,43
Quasars are thought to be powered by the accretion of matter onto a supermassive black hole.,True,44
The merger of two supermassive black holes is a rare event.,True,45
The merger of two supermassive black holes is likely to take place over a timescale of millions or billions of years.,True,46
The strength of a neutron star’s magnetic field is not greater than that of a black hole.,False,47
It is generally believed that the magnetic fields of neutron stars are weaker than those of black holes.,False,48
The magnetic fields of black holes are generated by the extremely strong gravitational forces in their vicinity.,False,49
The magnetic fields of neutron stars are generated by the motion of charged particles within the star.,True,50
Black holes are much more massive than neutron stars.,True,51
The gravitational forces of black holes are much stronger than those of neutron stars.,True,52
Black holes are able to generate much stronger magnetic fields than those of neutron stars.,False,53
The giant planets in our solar system rotate much faster than terrestrial planets.,True,54
Jupiter and Saturn are giant planets.,True,55
Earth and Mars are terrestrial planets.,True,56
Giant planets are larger and more massive than terrestrial planets.,True,57
"The more massive an object is, the more inertia it has.",True,58
The more massive object takes the more force to change the direction of its motion.,True,59
Giant planets are able to spin quickly despite their large size.,True,60
Giant planets are more likely to be affected by the gravitational pull of other objects in the solar system.,True,61
The gravitational pull of other objects can cause giant planets to rotate faster over time.,False,62
Epigenetic inheritance refers to the transmission of traits from one generation to the next.,True,63
Epigenetic inheritance is not encoded in the DNA sequence itself.,True,64
Epigenetic inheritance is encoded in the way that the DNA is packaged and regulated.,True,65
Epigenetic changes can be caused by various environmental factors.,True,66
Diet is an environmental factor that can cause epigenetic changes.,True,67
Stress is an environmental factor that can cause epigenetic changes.,True,68
Exposure to toxins is an environmental factor that can cause epigenetic changes.,True,69
Epigenetic changes can be passed down to future generations.,True,70
Epigenetic changes can be passed down to future generations through DNA methylation.,True,71
Epigenetic changes can be passed down to future generations through histone modification.,True,72
Epigenetic changes can be passed down to future generations through non-coding RNA molecules.,True,73
Water exhibits a phenomenon known as 'structural memory.',True,74
Structural memory refers to the ability of water molecules to retain a structural arrangement.,True,75
"Water retains a structural arrangement even after the substance that caused the arrangement has been removed (Fang, et al., 2010).",True,76
Water's structural memory is due to the fact that water molecules are highly polar.,False,77
Hydrogen atoms in water molecules have a positive charge.,True,78
The oxygen atom in the water molecules has a negative charge.,True,79
"When a substance is mixed with water, the substance's ions can interact with the water molecules.",True,80
The interaction between substance's ions and water molecules occurs through ion-dipole and hydrogen bonding.,True,81
"The interaction between substance's ions and water molecules causes the water molecules to rearrange themselves into a specific structure (Fang, et al., 2010).",True,82
Genes are responsible for the production of proteins in an organism.,True,83
Different types of proteins are necessary for different functions in the body.,True,84
Proteins are produced through the expression of specific genes.,True,85
Different types of stars are formed through the interaction of various elements in space.,True,86
Different types of stars are formed through the interaction of various processes in space.,True,87
The elements and processes to form stars are controlled by the laws of physics and chemistry.,True,88
The laws of physics and chemistry are governed by specific sets of genes.,False,89
A star's temperature is determined by the amount of mass and energy it has.,True,90
A star's size is determined by the amount of mass and energy it has.,True,91
A star's luminosity is determined by the amount of mass and energy it has.,True,92
The type of gas and dust that make up a star determines the amount of mass and energy it has.,True,93
Gases and dusts that make up a star are formed from elements.,True,94
Elements in space are created through various nuclear reactions.,True,95
Specific genes regulate the various nuclear reactions in space.,False,96
Different types of stars that we see in the sky are the result of the expression of different genes.,False,97
Different genes control the production of proteins in stars.,False,98
Proteins facilitate the various processes and interactions that take place in space.,False,99
"New York State Rifle & Pistol Association, Inc. v. Bruen is a case heard by the Supreme Court of the United States.",True,100
"The New York State Rifle & Pistol Association, Inc. v. Bruen case dealt with the constitutionality of a New York state law regulating the possession of firearms.",True,101
The New York state law imposes restrictions on the transportation of firearms outside the home.,True,102
The New York state law requires a license for the transportation of firearms.,True,103
The New York state law limits the reasons for which firearms could be transported.,True,104
The Supreme Court held that the New York state law was constitutional.,False,105
The Supreme Court found that the New York state law was consistent with the Second Amendment of the United States Constitution.,False,106
The Supreme Court found that the New York state law did not unduly burden the right to keep and bear arms.,False,107
"The decision on New York state rifle & pistol association, inc., ET AL. v. BRUEN was seen as a significant victory for gun control advocates.",True,108
"The decision on New York state rifle & pistol association, inc., ET AL. v. BRUEN was seen as a setback for gun rights supporters.",True,109
Mondeca is a software company.,True,110
Mondeca specializes in developing a wide range of tools.,True,111
"The tools developed by Mondeca are for knowledge management, semantic technologies, and natural language processing.",True,112
Intellidimension is a tool developed by Mondeca.,False,113
"Intellidimension is a platform for managing and publishing large-scale, multilingual ontologies and taxonomies.",False,114
Intellicontext is a tool developed by Mondeca.,True,115
Intellicontext is a tool for automatically extracting and classifying entities and concepts from unstructured text.,True,116
Intellilink is a tool developed by Mondeca.,False,117
Intellilink is a tool for linking and integrating data from multiple sources using semantic technologies.,False,118
Intelliresponse is a tool developed by Mondeca.,True,119
Intelliresponse is a tool for building intelligent chatbots and virtual assistants using natural language processing.,True,120
Intelliview is a tool developed by Mondeca.,False,121
"Intelliview is a tool for visualizing and exploring large-scale, multilingual ontologies and taxonomies.",False,122
The Mondeca tools are now part of Openlink Software.,False,123
Openlink Software acquired Mondeca in 2020.,False,124
Abong Mbang is a city located in the East Region of Cameroon.,True,125
Abong Mbang is in the Adamawa Division.,False,126
Abong Mbang is in the Abong-Mbang sub-division of the Adamawa Division.,False,127
Abong Mbang is located on the N2 road.,False,128
The N2 road connects Abong Mbang to the capital city of Yaounde.,False,129
The N2 road connects Abong Mbang to the economic capital city of Douala.,False,130
There have been a total of four female justices who have served on the United States Supreme Court.,False,131
Sandra Day O'Connor is a female U.S. Supreme Court justice.,True,132
Ruth Bader Ginsburg is a female U.S. Supreme Court justice.,True,133
Sonia Sotomayor is a female U.S. Supreme Court justice.,True,134
Brett Kavanaugh is a female U.S. Supreme Court justice.,False,135
Sandra Day O'Connor was appointed to the U.S. Supreme Court by President Ronald Reagan in 1981.,True,136
Ruth Bader Ginsburg was appointed to the U.S. Supreme Court by President Bill Clinton in 1993.,True,137
Sonia Sotomayor was appointed to the U.S. Supreme Court by President Barack Obama in 2009.,True,138
Brett Kavanaugh was appointed to the U.S. Supreme Court by President Donald Trump in 2018.,True,139
The peregrine falcon is the fastest animal with wings and fur.,True,140
The peregrine falcon is the fastest animal in the world.,True,141
The peregrine falcon is capable of reaching speeds of over 240 miles per hour when diving.,False,142
The Russian Federal Space Agency has sent 14 bears into space since 1983.,False,143
Gary Smith is a distinguished professor of economics.,True,144
Gary Smith is a professor at Pomona College in California.,True,145
Gary Smith holds a bachelor's degree in economics from Stanford University.,False,146
Gary Smith holds a doctorate in economics from the University of California at Berkeley.,False,147
Gary Smith is a leader in the field of economic theory.,False,148
Gary Smith has been published in numerous top journals.,True,149
Gary Smith's research focuses on macroeconomics.,True,150
Gary Smith's research focuses on industrial organization.,False,151
Gary Smith's research focuses on public finance.,False,152
Gary Smith's research focuses on international trade and development.,False,153
Gary Smith's research focuses on economic history.,False,154
Gary Smith received the Nobel Memorial Prize in Economic Sciences in 2018.,False,155
"'MAYIM' (מים) means ""water"" in Hebrew.",True,156
Mey Eden is one of the largest bottled water companies in Israel.,True,157
Mey Eden offers still water products.,True,158
'Ein Gedi' is a popular bottled water brand in Israel.,True,159
Isabelle Augenstein is a prominent researcher.,True,160
Isabelle Augenstein works in the field of natural language processing.,True,161
The Conference on Empirical Methods in Natural Language Processing (EMNLP) gave the Best Paper Award to Isabelle Augenstein in 2017.,False,162
The paper titled 'Multi-Task Learning for Named Entity Recognition in Informal Text' received the Best Paper Award at EMNLP 2017.,False,163
Isabelle Augenstein received the Google PhD Fellowship in Natural Language Processing in 2015.,False,164
Isabelle Augenstein received the Facebook Fellowship in 2017.,False,165
The Annual Meeting of the Association for Computational Linguistics (ACL) gave the Best Demo Paper Award to Isabelle Augenstein in 2021.,False,166
The paper titled 'AI-based Language Learning: Challenges and Opportunities' received the Best Demo Paper Award at ACL 2021.,False,167
Dr. Marloes Arts is a social anthropologist.,False,168
Dr. Marloes Arts has conducted research on topics related to social and environmental sustainability.,False,169
Dr. Marloes Arts has conducted research on water governance.,False,170
Dr. Marloes Arts has conducted research on climate change.,False,171
Dr. Marloes Arts has conducted research on conservation.,False,172
Dr. Marloes Arts has published several papers and articles on topics related to social and environmental sustainability.,False,173
Dr. Marloes Arts' research has been influential in shaping academic discussions around topics related to social and environmental sustainability.,False,174
