claim,label,id
Vaccines are one of the most effective and cost-effective medical interventions in history.,True,0
"Health literacy is ""the degree to which individuals have the capacity to obtain, process, and understand basic health information and services needed to make appropriate health decisions.""",True,1
"Some of the current HIV vaccine trials are based on the findings from the RV144 trial, which was conducted in Thailand from 2003 to 2009 and showed a modest degree of protection against HIV infection.",True,2
"Renowned graffiti artists like Jean-Michel Basquiat, Keith Haring, and Banksy achieved fame and influence.",True,3
Kathakali was performed in temples and palaces as part of religious festivals and rituals.,True,4
"When we are excited or happy, our brain releases a chemical called dopamine, which affects the brain's functions and thus our perception of time.",True,5
"""Bohemian Rhapsody"" was inspired by Mercury's personal life, his relationship with his former fiancée Mary Austin, his sexuality, and his artistic vision.",True,6
The Burj Khalifa is the tallest building in the world.,True,7
Cooking more at home and avoiding takeout containers and plastic cutlery when eating out or ordering in can help reduce plastic waste and its impact on the ocean.,True,8
Classical computers have less compute power than quantum computers and cannot scale as easily for problems that involve a large number of variables and outcomes.,True,9
"Increasing mapping, surveillance, and research on the sources, scale, and fate of plastic pollution in the ocean and its effects on marine life and human health can help reduce plastic pollution and its impacts.",True,10
"Watson and Crick used Chargaff's rules to figure out that A pairs with T and G pairs with C, forming complementary base pairs that hold the two strands together by hydrogen bonds.",True,11
Smilodon and Thylacosmilus lived in different continents and belonged to different groups (placental and marsupial).,True,12
Ada Lovelace was the daughter of the poet Lord Byron.,True,13
"In Japan, calligraphy was introduced from China along with Buddhism in the sixth century C.E.",True,14
Nouvelle cuisine emphasized fresh and natural ingredients in light and simple dishes.,True,15
"The video game crash of 1983 was caused by an oversaturation of low-quality and unoriginal games in the market, leading to a decline in consumer confidence and sales.",True,16
"In early Christianity, the phoenix was seen as an allegory of Christ's resurrection and life after death.",True,17
"""Bohemian Rhapsody"" is a classic song by the British rock band Queen, written by their lead singer Freddie Mercury.",True,18
Alexander Fleming was unable to isolate and purify penicillin at that time.,True,19
"In 1983, Motorola launched the first commercial cellular phone, the DynaTAC 8000X, which cost $3,995 and had a talk time of 30 minutes.",True,20
Fog water harvesting is a method of collecting water from fog using a vertical mesh that intercepts the droplet stream.,True,21
"By the 17th century, origami had entered Japanese society and was being used for both decorative and ceremonial purposes, such as to mark religious sites or to give as tokens and gifts.",True,22
Neutron stars resulting from an explosion can spin at speeds up to 600 rotations per second.,True,23
Molecular biology is the study of the structure and function of molecules such as DNA and proteins that are essential for life.,True,24
"Promoting low-carbon modes of transport, such as public transit, cycling, and walking, is a strategy that has been proposed or implemented to reduce carbon emissions in the transportation sector.",True,25
"""Bohemian Rhapsody"" is a six-minute suite that consists of several sections: an intro, a ballad segment, an operatic passage, a hard rock part, and a reflective coda.",True,26
At least 30 minutes of moderate exercise every day is recommended.,True,27
"Einstein predicted that light would bend in a gravitational field, which was later confirmed by observing starlight during a solar eclipse.",True,28
"Flamenco is a form of song, dance, and instrumental music that originated in southern Spain, especially in the region of Andalusia.",True,29
"""Bohemian Rhapsody"" is a song by the British rock band Queen, released as the lead single from their fourth album, A Night at the Opera (1975).",True,30
